"year","seasons","districts","crop_type","production","arable_size","air_temp","atm_pressure","evapo_trans","humidity","l_stemp","ndvi","rainfall","soil_moisture","solar_rad","wind_force"
2019,"Season A","Bugesera","vegetables",4600,687,21.86,784.17,0.12,65.41,23.22,0.14,118.8,0.49,340.76,-0.61
2020,"Season A","Bugesera","vegetables",5564.37,552.6,13.01,776.83,0.13,61.13,23.8,0.12,88.3,0.4,340.07,-0.66
2021,"Season A","Bugesera","vegetables",15871.19,24247.26,16.61,793.77,0.22,64.41,22.93,0.05,110.5,0.35,338.56,-0.37
2021,"Season A","Bugesera","vegetables",5196.86,553.61,16.61,793.77,0.22,64.41,22.93,0.05,110.5,0.35,338.56,-0.37
2018,"Season A","Bugesera","yams",4024.27,707.02,22.76,782.25,0.06,57.01,24.37,0.16,86.28,0.31,339.72,-0.86
2020,"Season A","Bugesera","yams",495.67,130.78,13.01,776.83,0.13,61.13,23.8,0.12,88.3,0.4,340.07,-0.66
2021,"Season A","Bugesera","yams",235.22,167.32,16.61,793.77,0.22,64.41,22.93,0.05,110.5,0.35,338.56,-0.37
2018,"Season A","Burera","banana",3661.41,657.14,20.07,782.77,0.11,63.88,21.68,0,166.02,0.34,324.94,-0.66
2018,"Season A","Burera","banana",676.41,209.73,20.07,782.77,0.11,63.88,21.68,0,166.02,0.34,324.94,-0.66
2018,"Season A","Burera","banana",4046.73,954.64,20.07,782.77,0.11,63.88,21.68,0,166.02,0.34,324.94,-0.66
2019,"Season A","Burera","banana",4298,2808,19.54,784.62,0.11,69.94,21.02,0.04,113.96,0.56,325.54,-0.5
2020,"Season A","Burera","banana",284.64,80.87,10.41,777.39,0.13,67.6,21.24,0.04,107.94,0.52,324.72,-0.53
2020,"Season A","Burera","banana",3965.7,1587.3,10.41,777.39,0.13,67.6,21.24,0.04,107.94,0.52,324.72,-0.53
2020,"Season A","Burera","banana",177.14,73.84,10.41,777.39,0.13,67.6,21.24,0.04,107.94,0.52,324.72,-0.53
2021,"Season A","Burera","banana",4302.86,1469.92,14,794.35,0.18,69.9,20.06,0.1,141.04,0.55,323.55,-0.41
2021,"Season A","Burera","banana",195.68,94.44,14,794.35,0.18,69.9,20.06,0.1,141.04,0.55,323.55,-0.41
2021,"Season A","Burera","banana",3123.04,1411.74,14,794.35,0.18,69.9,20.06,0.1,141.04,0.55,323.55,-0.41
2018,"Season A","Burera","beans",1308.87,1269.55,20.07,782.77,0.11,63.88,21.68,0,166.02,0.34,324.94,-0.66
2018,"Season A","Burera","beans",5707.07,4854.76,20.07,782.77,0.11,63.88,21.68,0,166.02,0.34,324.94,-0.66
2018,"Season A","Burera","beans",10105.27,8439.97,20.07,782.77,0.11,63.88,21.68,0,166.02,0.34,324.94,-0.66
2019,"Season A","Burera","beans",12804,9020,19.54,784.62,0.11,69.94,21.02,0.04,113.96,0.56,325.54,-0.5
2020,"Season A","Burera","beans",240.48,1572.96,10.41,777.39,0.13,67.6,21.24,0.04,107.94,0.52,324.72,-0.53
2020,"Season A","Burera","beans",240.48,1572.96,10.41,777.39,0.13,67.6,21.24,0.04,107.94,0.52,324.72,-0.53
2021,"Season A","Burera","beans",312.8,568.95,14,794.35,0.18,69.9,20.06,0.1,141.04,0.55,323.55,-0.41
2021,"Season A","Burera","beans",4033.18,5592,14,794.35,0.18,69.9,20.06,0.1,141.04,0.55,323.55,-0.41
2021,"Season A","Burera","beans",7753.57,10615.05,14,794.35,0.18,69.9,20.06,0.1,141.04,0.55,323.55,-0.41
2018,"Season A","Burera","Cassava",258.38,265.91,20.07,782.77,0.11,63.88,21.68,0,166.02,0.34,324.94,-0.66
2019,"Season A","Burera","Cassava",369,292,19.54,784.62,0.11,69.94,21.02,0.04,113.96,0.56,325.54,-0.5
2021,"Season A","Burera","Cassava",445.85,182.58,14,794.35,0.18,69.9,20.06,0.1,141.04,0.55,323.55,-0.41
2018,"Season A","Burera","irish_potatoes",48524.74,4966.26,20.07,782.77,0.11,63.88,21.68,0,166.02,0.34,324.94,-0.66
2019,"Season A","Burera","irish_potatoes",49555,4440,19.54,784.62,0.11,69.94,21.02,0.04,113.96,0.56,325.54,-0.5
2020,"Season A","Burera","irish_potatoes",26138.9,2729.85,10.41,777.39,0.13,67.6,21.24,0.04,107.94,0.52,324.72,-0.53
2021,"Season A","Burera","irish_potatoes",59670.98,5522.63,14,794.35,0.18,69.9,20.06,0.1,141.04,0.55,323.55,-0.41
2018,"Season A","Burera","Maize",9466.66,6782.26,20.07,782.77,0.11,63.88,21.68,0,166.02,0.34,324.94,-0.66
2019,"Season A","Burera","Maize",11933,9631,19.54,784.62,0.11,69.94,21.02,0.04,113.96,0.56,325.54,-0.5
2020,"Season A","Burera","Maize",12539.13,901.5,10.41,777.39,0.13,67.6,21.24,0.04,107.94,0.52,324.72,-0.53
2021,"Season A","Burera","Maize",20650.22,9888.11,14,794.35,0.18,69.9,20.06,0.1,141.04,0.55,323.55,-0.41
2018,"Season A","Burera","Sorghum",1993.28,1108.97,20.07,782.77,0.11,63.88,21.68,0,166.02,0.34,324.94,-0.66
2019,"Season A","Burera","Sorghum",5466,2410,19.54,784.62,0.11,69.94,21.02,0.04,113.96,0.56,325.54,-0.5
2020,"Season A","Burera","Sorghum",17007.25,8503.6,10.41,777.39,0.13,67.6,21.24,0.04,107.94,0.52,324.72,-0.53
2021,"Season A","Burera","Sorghum",1719.62,1310.43,14,794.35,0.18,69.9,20.06,0.1,141.04,0.55,323.55,-0.41
2018,"Season A","Burera","soya",10.81,49.74,20.07,782.77,0.11,63.88,21.68,0,166.02,0.34,324.94,-0.66
2018,"Season A","Burera","sweet_potatoes",20319.7,2487.77,20.07,782.77,0.11,63.88,21.68,0,166.02,0.34,324.94,-0.66
2019,"Season A","Burera","sweet_potatoes",37797,4278,19.54,784.62,0.11,69.94,21.02,0.04,113.96,0.56,325.54,-0.5
2020,"Season A","Burera","sweet_potatoes",485.88,197.29,10.41,777.39,0.13,67.6,21.24,0.04,107.94,0.52,324.72,-0.53
